State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,13/02/2024,10000,11800,10800
"Andhra Pradesh",Kurnool,Adoni,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",FAQ,13/02/2024,9209,9209,9209
"Andhra Pradesh",Kurnool,Adoni,"Castor Seed","Castor seed",FAQ,13/02/2024,4777,5369,5289
"Andhra Pradesh",Kurnool,Adoni,Sunflower,Local,FAQ,13/02/2024,3900,4050,4050
"Andhra Pradesh",Kurnool,Alur,Jowar(Sorghum),"Jowar ( White)",FAQ,13/02/2024,3160,3200,3180
"Andhra Pradesh",Kurnool,Atmakur,Paddy(Dhan)(Common),"Sona Mahsuri",FAQ,13/02/2024,2183,2183,2183
"Andhra Pradesh",Kurnool,Kurnool,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,13/02/2024,5009,9741,9651
"Andhra Pradesh",Kurnool,Kurnool,"Dry Chillies",Local,FAQ,13/02/2024,4454,22269,16899
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 1",FAQ,13/02/2024,3510,4070,3790
Chattisgarh,Balod,Dondi,Lak(Teora),"Lak (Whole)",FAQ,13/02/2024,3000,3000,3000
Chattisgarh,Balod,Gurur,Paddy(Dhan)(Common),"I.R. 64",FAQ,13/02/2024,2105,2300,2200
Chattisgarh,Balrampur,Kusmee,Maize,Local,FAQ,13/02/2024,2100,2100,2100
Chattisgarh,Bilaspur,Bilaspur,Wheat,Local,FAQ,13/02/2024,2535,2535,2535
Chattisgarh,Bilaspur,Kota,Wheat,Local,FAQ,13/02/2024,2500,2500,2500
Chattisgarh,Bilaspur,Pendraroad,Paddy(Dhan)(Common),Paddy,FAQ,13/02/2024,2215,2215,2215
Chattisgarh,Bilaspur,Sakri,Paddy(Dhan)(Common),Paddy,FAQ,13/02/2024,2000,2000,2000
Chattisgarh,Bilaspur,Tiphra,Apple,Apple,Large,13/02/2024,18000,18300,18100
Chattisgarh,Bilaspur,Tiphra,Cabbage,Cabbage,FAQ,13/02/2024,700,900,800
Chattisgarh,Bilaspur,Tiphra,Onion,Other,FAQ,13/02/2024,1100,1400,1200
Chattisgarh,Bilaspur,Tiphra,Potato,Other,FAQ,13/02/2024,1500,1700,1600
Chattisgarh,Bilaspur,Tiphra,Spinach,Other,FAQ,13/02/2024,1500,1700,1600
Chattisgarh,Dantewada,Gidam,"Tamarind Seed","Tamarind Seed",FAQ,13/02/2024,2800,3000,2900
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),"B P T",FAQ,13/02/2024,2543,2565,2550
Chattisgarh,Durg,Durg,"Banana - Green","Banana - Green",FAQ,13/02/2024,1700,1800,1700
Chattisgarh,Durg,Durg,Grapes,Green,Medium,13/02/2024,6000,7000,7000
Chattisgarh,Durg,Durg,Onion,Nasik,FAQ,13/02/2024,2000,2200,2200
Chattisgarh,Durg,Durg,Orange,Nagpuri,Medium,13/02/2024,4000,6000,6000
