Sl. No.,adj_names,REGULATED MARKETS - Principal Markets,REGULATED MARKETS - Submarket Yards,REGULATED MARKETS - Total
1,Andhra Pradesh,190,157,347
2,Arunachal Pradesh,0,0,0
3,Assam,20,206,226
5,Jharkhand,28,173,201
6,Goa,1,7,8
7,Gujarat,213,187,400
8,Haryana,107,174,281
9,Himachal Pradesh,10,44,54
10,Jammu & Kashmir,11,0,11
11,Karnataka,157,356,513
13,Madhya Pradesh,254,284,538
14,Chhattisgarh,69,118,187
15,Maharashtra,305,603,908
17,Meghalaya,2,0,2
19,Nagaland,18,0,18
20,Odisha,54,382,436
21,Punjab,150,274,424
22,Rajasthan,134,312,446
24,Tamil Nadu,277,6,283
25,Telangana,150,110,260
26,Tripura,21,0,21
27,Uttar Pradesh,250,365,615
28,Uttarakhand,26,32,58
29,West Bengal,20,464,484
31,Chandigarh,1,0,1
34,Delhi,7,8,15
36,Puducherry,4,5,9
Total,Total,2479,4267,6746
