regname21,zonename21,distname21,dcode21,rname07,zname07,dname07,dcode07,zcode07,intareasqmi,sharearea
Tigray,North Western,Tahtay Adiyabo,010101,Tigray,North Western Tigray,Tahitay Adiyabo,10101,101,1194.44298748894,99.6879164935048
Tigray,North Western,Laelay Adiabo,010102,Tigray,North Western Tigray,Laelay Adiabo,10102,101,233.336887771347,99.2804057631524
Tigray,North Western,Zana,010103,Tigray,North Western Tigray,Medebay Zana,10103,101,227.02611242028,96.4657247109085
Tigray,North Western,Tahtay Koraro,010104,Tigray,North Western Tigray,Tahitay Qoraro,10104,101,246.025077452163,69.1818581670107
Tigray,North Western,Asgede,010105,Tigray,North Western Tigray,Asegede Tsimbila,10105,101,562.514209054832,86.9537965552699
Tigray,North Western,Tselemti,010106,Tigray,North Western Tigray,Tselemt,10106,101,703.174562338809,88.6945812942276
Tigray,North Western,Sheraro town,010107,Tigray,North Western Tigray,Tahitay Adiyabo,10101,101,19.2313758346969,64.2048823959863
Tigray,North Western,Indasilassie town,010108,Tigray,North Western Tigray,Tahitay Qoraro,10104,101,3.23468273732326,53.5436508366079
Tigray,North Western,Selekleka,010109,Tigray,North Western Tigray,Medebay Zana,10103,101,160.164195564805,97.0578684726417
Tigray,North Western,Seyemti Adyabo,010110,Tigray,North Western Tigray,Laelay Adiabo,10102,101,293.4003752012,99.884185108652
Tigray,North Western,Adi Daero,010111,Tigray,North Western Tigray,Laelay Adiabo,10102,101,41.9894212534495,100
Tigray,North Western,Adi Hageray,010112,Tigray,North Western Tigray,Tahitay Adiyabo,10101,101,369.076272376328,98.2324457829597
Tigray,North Western,Tsimbla,010113,Tigray,North Western Tigray,Asegede Tsimbila,10105,101,402.219081443227,97.2720438132438
Tigray,North Western,Endabaguna town,010114,Tigray,North Western Tigray,Asegede Tsimbila,10105,101,1.29679917570125,100
Tigray,North Western,Dima (TG),010115,Tigray,North Western Tigray,Tselemt,10106,101,340.678396437927,97.1531139662486
Tigray,North Western,May Tsebri town,010116,Tigray,North Western Tigray,Tselemt,10106,101,1.78642488443075,100
Tigray,Central,Chila,010201,Tigray,Central Tigray,Mereb Leha,10201,102,160.395528543261,65.6639642249446
Tigray,Central,Aheferom,010202,Tigray,Central Tigray,Ahiferom,10202,102,184.960841962868,97.2717656128985
Tigray,Central,Edaga arbi,010203,Tigray,Central Tigray,Wereilehi,10203,102,136.390538787153,100
Tigray,Central,Adwa,010204,Tigray,Central Tigray,Adwa,10204,102,254.57079550478,93.5922122521818
Tigray,Central,Laelay Maychew,010205,Tigray,Central Tigray,Lailay Mayichewu,10205,102,171.906968867357,87.9796421408122
Tigray,Central,Tahtay Mayechew,010206,Tigray,Central Tigray,Tahitay Maychew,10206,102,148.187524180532,98.6272391465002
Tigray,Central,Adet,010207,Tigray,Central Tigray,Nader Adet,10207,102,224.725210290893,88.8937063039388
Tigray,Central,Kola Temben,010208,Tigray,Central Tigray,Kola Temben,10208,102,264.892400588621,89.6983177706182
Tigray,Central,Naeder,010209,Tigray,Central Tigray,Nader Adet,10207,102,157.656288648422,78.1067705091288
Tigray,Central,Abergele (TG),010210,Tigray,Central Tigray,Tanqua Abergele,10210,102,434.121197716146,93.8852362684698
Tigray,Central,Abi Adi town,010211,Tigray,Central Tigray,Abiyi adi Town,10211,102,7.86645718858173,97.0265748404131
Tigray,Central,Adwa town,010212,Tigray,Central Tigray,Adwa,10204,102,6.63381851738877,58.8073823144373
Tigray,Central,Axum town,010213,Tigray,Central Tigray,Akisum Town,10213,102,6.75061038294603,90.1468798574102
Tigray,Central,Rama,010214,Tigray,Central Tigray,Mereb Leha,10201,102,194.893122533524,98.4441280223778
Tigray,Central,Ahsea,010215,Tigray,Central Tigray,Mereb Leha,10201,102,147.439416873116,98.4067177215909
Tigray,Central,Egela,010216,Tigray,Central Tigray,Ahiferom,10202,102,255.927485432444,97.0668867907987
Tigray,Central,Hahayle,010217,Tigray,Central Tigray,Ahiferom,10202,102,61.3996800747506,72.4930963373521
Tigray,Central,Endafelasi,010218,Tigray,Central Tigray,Wereilehi,10203,102,189.005948543931,99.3915361701591
Tigray,Central,Emba Sieneti,010219,Tigray,Central Tigray,Wereilehi,10203,102,159.544373446577,97.6956199551009
Tigray,Central,Enticho town,010220,Tigray,Central Tigray,Ahiferom,10202,102,1.59283503671015,100
Tigray,Central,Keyhe tekli,010221,Tigray,Central Tigray,Kola Temben,10208,102,287.62734390605,97.6635615177839
Tigray,Central,Tanqua Melashe,010222,Tigray,Central Tigray,Tanqua Abergele,10210,102,107.16173732931,70.2152227213524
Tigray,Eastern,Gulo Mekeda,010301,Tigray,Eastern Tigray,Gulo Meheda,10301,103,200.011290675049,98.621161376261
Tigray,Eastern,Erob,010302,Tigray,Eastern Tigray,Erop,10302,103,309.275283460331,82.2946254760224
Tigray,Eastern,Saesie,010303,Tigray,Eastern Tigray,Saesi Tsadamba,10303,103,202.310371794631,80.6968374684557
Tigray,Eastern,Ganta Afeshum,010304,Tigray,Eastern Tigray,Ganta Afeshum,10304,103,148.947297542254,77.4326067620755
Tigray,Eastern,Hawzen,010305,Tigray,Eastern Tigray,Hawzen,10305,103,297.065127998375,97.3774846118015
Tigray,Eastern,Kelete Awelallo,010306,Tigray,Eastern Tigray,Klite Awlalo,10306,103,172.543954129511,81.586249274261
Tigray,Eastern,Atsbi,010307,Tigray,Eastern Tigray,Atsbi Wonberta,10307,103,191.807991623403,77.0884774023343
Tigray,Eastern,Adigrat town,010308,Tigray,Eastern Tigray,Adi Girat Town,10308,103,6.01302897047171,75.2396899273466
Tigray,Eastern,Wukro town,010309,Tigray,Eastern Tigray,Klite Awlalo,10306,103,5.25186539103057,62.527151132518
Tigray,Eastern,Bizet,010310,Tigray,Eastern Tigray,Ganta Afeshum,10304,103,61.4893353007159,92.9911543833389
Tigray,Eastern,Edaga Hamus town,010311,Tigray,Eastern Tigray,Saesi Tsadamba,10303,103,1.19735212698986,100
Tigray,Eastern,Hawzen town,010312,Tigray,Eastern Tigray,Hawzen,10305,103,1.68767783958261,100
Tigray,Eastern,Freweyni town,010313,Tigray,Eastern Tigray,Saesi Tsadamba,10303,103,1.27320158298435,100
Tigray,Eastern,Tsaeda Emba,010314,Tigray,Eastern Tigray,Saesi Tsadamba,10303,103,161.190537636123,76.7486882129499
Tigray,Eastern,Atsbi town,010315,Tigray,Eastern Tigray,Atsbi Wonberta,10307,103,0.416399650362629,100
Tigray,Eastern,Agulae,010316,Tigray,Eastern Tigray,Klite Awlalo,10306,103,164.818154096614,42.6694425783387
Tigray,Eastern,Geraleta,010317,Tigray,Central Tigray,Degua Temben,10209,102,67.395440447793,47.1893995568377
Tigray,Eastern,Zala Anbesa town,010318,Tigray,Eastern Tigray,Gulo Meheda,10301,103,1.23948521931741,100
Tigray,Southern,Selewa,010401,Tigray,South Tigray,Ambalage,10404,104,86.3352750378043,76.6020180078086
Tigray,Southern,Bora (TG),010402,Tigray,South Tigray,Ambalage,10404,104,68.5639029009047,89.850737030433
Tigray,Southern,Neqsege,010403,Tigray,South Tigray,Endamehone,10405,104,63.1912814328559,91.7999597632469
Tigray,Southern,Emba Alaje,010404,Tigray,South Tigray,Ambalage,10404,104,134.163791241979,95.3450254067634
Tigray,Southern,Endamehoni,010405,Tigray,South Tigray,Endamehone,10405,104,181.526234745585,98.2237806621468
Tigray,Southern,Raya Azebo,010406,Tigray,South Tigray,Rya Azebo,10406,104,328.31151423668,73.7203342230529
Tigray,Southern,Raya Alamata,010407,Tigray,South Tigray,Alamata,10407,104,242.627340080061,84.4201366499559
Tigray,Southern,Ofla,010408,Tigray,South Tigray,Ofla,10408,104,247.638323338107,97.3162230180288
Tigray,Southern,Maichew town,010409,Tigray,South Tigray,Maychew Town,10409,104,3.53647369414213,53.4188443266727
Tigray,Southern,Korem town,010410,Tigray,South Tigray,Korem Town,10410,104,2.93029671794897,64.1077276649321
Tigray,Southern,Alamata town,010411,Tigray,South Tigray,Alamata,10407,104,2.89167167950858,56.1610557213468
Tigray,Southern,Mekhoni town,010412,Tigray,South Tigray,Rya Azebo,10406,104,1.58976815967931,100
Tigray,Southern,Zata,010413,Tigray,South Tigray,Ofla,10408,104,165.234621518084,96.5122774975163
Tigray,Southern,Chercher,010414,Tigray,South Tigray,Rya Azebo,10406,104,231.760058954569,76.844881547079
Tigray,Western,Kafta Humera,010501,Tigray,Western Tigray,Qafta Humera,10501,105,2022.79355262414,98.2486760581642
Tigray,Western,Welkait,010502,Tigray,Western Tigray,Welqayet,10502,105,974.646810030917,96.2289456778489
Tigray,Western,Tsegede (TG),010503,Tigray,Western Tigray,Tsegede,10503,105,710.511461989525,79.1871449133284
Tigray,Western,Setit Humera,010504,Tigray,Western Tigray,Qafta Humera,10501,105,34.2997147779789,84.7941283729877
Tigray,Western,May Kadra,010505,Tigray,Western Tigray,Qafta Humera,10501,105,462.599271428061,99.759875266733
Tigray,Western,Dansha town,010506,Tigray,Western Tigray,Tsegede,10503,105,312.923813459244,70.0659027418931
Tigray,Western,Awra (TG),010507,Tigray,Western Tigray,Welqayet,10502,105,334.479243893611,95.4507546385859
Tigray,Western,Korarit,010508,Tigray,Western Tigray,Welqayet,10502,105,198.16192538767,99.3397776581316
Tigray,Western,May Gaba,010509,Tigray,Western Tigray,Welqayet,10502,105,6.06027480124157,100
Tigray,South Eastern,Saharti,010601,Tigray,South Tigray,Seharti Samre,10401,104,240.960221619087,98.6238046913412
Tigray,South Eastern,Enderta,010602,Tigray,South Tigray,Enderta,10402,104,355.669128970487,61.8503994429428
Tigray,South Eastern,Hintalo,010603,Tigray,South Tigray,Hintalo Wajirat,10403,104,347.189183824208,94.1029740494547
Tigray,South Eastern,Degua Temben,010604,Tigray,Central Tigray,Degua Temben,10209,102,175.741535346124,97.7571600774963
Tigray,South Eastern,Hagere Selam town,010605,Tigray,Central Tigray,Degua Temben,10209,102,2.15140852639497,100
Tigray,South Eastern,Samre,010606,Tigray,South Tigray,Seharti Samre,10401,104,378.376196464063,83.6573257791397
Tigray,South Eastern,Adigudom,010607,Tigray,South Tigray,Hintalo Wajirat,10403,104,6.32410205206108,95.0383503878614
Tigray,South Eastern,Wajirat,010608,Tigray,South Tigray,Hintalo Wajirat,10403,104,286.113694449491,79.5937202236225
Tigray,Mekelle,Mekelle,010701,Tigray,South Tigray,Enderta,10402,104,175.449560626246,81.5781842528401
Afar,Awsi /Zone 1,Dubti,020101,Afar,Zone 01,Dubti,20101,201,1922.86012885078,99.3494876636896
Afar,Awsi /Zone 1,Elidar,020102,Afar,Zone 01,Elidar,20102,201,4431.12863890018,99.8882898001635
Afar,Awsi /Zone 1,Asayita,020103,Afar,Zone 01,Asayta,20103,201,650.498400680523,98.7887022662693
Afar,Awsi /Zone 1,Afambo,020104,Afar,Zone 01,Afambo,20104,201,494.705631461231,91.4325125156222
Afar,Awsi /Zone 1,Mile,020105,Afar,Zone 01,Mile,20105,201,892.243633277667,99.4843330637514
Afar,Awsi /Zone 1,Chifra,020106,Afar,Zone 01,Chefera,20106,201,572.209970121495,95.100264471055
Afar,Awsi /Zone 1,Dubti town,020107,Afar,Zone 01,Dubti,20101,201,2.74034631812278,100
Afar,Awsi /Zone 1,Kori,020108,Afar,Zone 01,Kori,20107,201,1164.22103648789,99.6277516536919
Afar,Awsi /Zone 1,Adar,020109,Afar,Zone 01,Mile,20105,201,918.955750869132,97.2043467833615
Afar,Awsi /Zone 1,Gerani,020110,Afar,Zone 01,Dubti,20101,201,440.908281406505,30.3527168570548
Afar,Awsi /Zone 1,Asayita town,020111,Afar,Zone 01,Asayta,20103,201,20.3327755268258,100
Afar,Awsi /Zone 1,Samera Logiya town,020198,Afar,Zone 01,Dubti,20101,201,30.7253796127901,100
Afar,Kilbati /Zone2,Erebti,020201,Afar,Zone  02,Erebti,20201,202,1062.02518758707,99.2106742734234
Afar,Kilbati /Zone2,Kunneba,020202,Afar,Zone  02,Konaba,20202,202,138.971189904833,96.4246046487134
Afar,Kilbati /Zone2,Abaala,020203,Afar,Zone  02,Abala,20203,202,381.811878965704,96.6329184848983
Afar,Kilbati /Zone2,Megale,020204,Afar,Zone  02,Megale,20204,202,455.38721133918,98.7730745898376
Afar,Kilbati /Zone2,Berahile,020205,Afar,Zone  02,Berehale,20205,202,979.171677418427,81.4509053436683
Afar,Kilbati /Zone2,Dalol,020206,Afar,Zone  02,Dalol,20206,202,773.769948288037,89.5302804186983
Afar,Kilbati /Zone2,Afdera,020207,Afar,Zone  02,Afdera,20207,202,3038.93242026354,59.7426315657421
Afar,Kilbati /Zone2,Bidu,020208,Afar,Not Covered by Field Work,Not Covered by Field Work,20000,200,1249.47022892269,43.712105299678
Afar,Kilbati /Zone2,Abaala town,020209,Afar,Zone  02,Abala,20203,202,66.9290740834903,86.1957646409659
Afar,Gabi /Zone 3,Amibara,020301,Afar,Zone  03,Amibara,20301,203,254.836279966081,99.1575575217484
Afar,Gabi /Zone 3,Awash,020302,Afar,Zone  03,Awash Fentale,20302,203,381.911171946103,94.420362087321
Afar,Gabi /Zone 3,Gewane,020303,SOMALIE,SHINILE,ERER,50104,501,1391.6782664296,41.5072916089675
Afar,Gabi /Zone 3,Dulecha,020304,Afar,Zone  03,Dulecha,20304,203,582.380451163761,98.3984552367112
Afar,Gabi /Zone 3,Gelalu,020305,Afar,Zone  03,Bure Modayitu,20305,203,277.072891557477,98.4196809930441
Afar,Gabi /Zone 3,Arguba,020306,Afar,Zone  03,Argoba Liyu,20306,203,138.626474988471,94.2212624430437
Afar,Gabi /Zone 3,Hanruka,020307,SOMALIE,SHINILE,MIESO,50105,501,560.848507919627,51.7865739783917
Afar,Gabi /Zone 3,Awash town,020396,Afar,Zone  03,Awash Fentale,20302,203,4.53732569787793,96.7150674816861
Afar,Fanti /Zone 4,Awra (AF),020401,Afar,Zone 04,Awura,20401,204,922.602029233348,99.0713418687433
Afar,Fanti /Zone 4,Euwa,020402,Afar,Zone 04,Ewa,20402,204,579.05802588864,98.8710789263457
Afar,Fanti /Zone 4,Teru,020403,Afar,Zone 04,Teru,20403,204,2353.12754895581,99.5979220922827
Afar,Fanti /Zone 4,Yalo,020404,Afar,Zone 04,Yalo,20404,204,306.105303842543,98.3430483763334
Afar,Fanti /Zone 4,Gulina,020405,Afar,Zone 04,Golina,20405,204,314.034164763611,91.2002029942566
Afar,Hari /Zone 5,Telalek,020501,Afar,Zone 05,Telalak,20501,205,438.878693505832,98.522379973045
Afar,Hari /Zone 5,Samurobi,020502,Afar,Zone 05,Semurobina Gelalo,20502,205,546.545649768352,94.4829653279536
Afar,Hari /Zone 5,Dawe,020503,Afar,Zone 05,Dewe,20503,205,273.312187697233,90.6023235738303
Afar,Hari /Zone 5,Dalefage,020504,Afar,Zone 05,Dalifagi,20504,205,379.196563100568,96.4348545340481
Afar,Hari /Zone 5,Hadelela,020505,Afar,Zone 05,Hadeleala,20505,205,499.04404574531,98.9035923618997
Amhara,North Gondar,Addi Arekay,030101,Amhara,North Gondar,Adiarikay,30101,301,598.096027164757,99.3178206584086
Amhara,North Gondar,Beyeda,030102,Amhara,North Gondar,Beyeda,30102,301,390.607529184747,98.3969425112422
Amhara,North Gondar,Janamora,030103,Amhara,North Gondar,Jan Amora,30103,301,524.341150809783,98.7744374442471
Amhara,North Gondar,Debark,030104,Amhara,North Gondar,Debark,30104,301,502.832801804056,98.4193483597782
Amhara,North Gondar,Dabat,030105,Amhara,North Gondar,Dabat,30105,301,440.572721810631,98.7727825464268
Amhara,North Gondar,Dabat town,030106,Amhara,North Gondar,Dabat,30105,301,1.95085673540761,100
Amhara,North Gondar,Telemt,030119,Amhara,North Gondar,Tselemet,30119,301,303.257405787088,95.1692997474148
Amhara,North Gondar,Debark town,030198,Amhara,North Gondar,Debark,30104,301,2.31773505128346,100
Amhara,South Gondar,Ebenat,030201,Amhara,South Gonder,Ebinat,30201,302,651.110280521074,99.1179659959626
